,0
1228,NDUFB9
1229,GCH1
1230,PPAT
1231,BCKDHB
1232,FPGS
1233,ENPP1
1234,PFKP
1235,INPP5E
1236,SLC6A3
1237,DHFR
1238,NDUFS4
1239,UPP2
1240,PLA2G5
1241,PIGS
1242,CA3
1243,PISD
1244,GMPPB
1245,NSDHL
1246,SLC26A2
1247,DCTD
1248,MOGAT2
1249,NME7
1250,B3GAT1
1251,AUH
1252,NT5M
1253,SLC9A7
1254,PDE5A
1255,CDIPT
1256,MGAT5
1257,CRAT
1258,FUT8
1259,MGAT1
1260,NDUFA8
1261,FDFT1
1262,ATP1A4
1263,SLC38A4
1264,ACSL4
1265,SLC2A6
1266,COX4I1
1267,NDST1
1268,EXTL1
1269,MSMO1
1270,NME6
1271,SLC9A5
1272,DUOX1
1273,GSTZ1
1274,FUT9
1275,DPM3
1276,COASY
1277,FOLR1
1278,ISYNA1
1279,PDXK
1280,GCLM
1281,DGKD
1282,CROT
1283,DPYSL3
1284,NDUFV3
1285,SLC38A2
1286,LRAT
1287,PRODH
1288,CYP19A1
1289,GUCY2C
1290,SARDH
1291,ABO
1292,SOAT1
1293,MPI
1294,GSTM1
1295,SDR16C5
1296,TXNRD3
1297,AGXT
1298,NDUFA12
1299,PCCA
1300,GFPT1
1301,ASRGL1
1302,B3GALT6
1303,ATP1A1
1304,HEXB
1305,PPA1
1306,PFKFB2
1307,IDH3B
1308,CHPF
1309,NMRK1
1310,LDHAL6B
1311,ALG6
1312,STARD3
1313,HS3ST6
1314,SLC26A9
1315,CHST4
1316,PIGA
1317,ST6GALNAC6
1318,NNMT
1319,NDUFS2
1320,ENO3
1321,PDE6B
1322,NDUFA10
1323,PIK3CA
1324,GALNT14
1325,UPB1
1326,FLAD1
1327,RENBP
1328,PCCB
1329,ST6GALNAC2
1330,GLA
1331,GCAT
1332,GK
1333,HAS2
1334,SYNJ1
1335,GUK1
1336,UAP1
