,0
1310,Slc25a26
1311,B3gat1
1312,Inpp5e
1313,Rdh8
1314,Pisd
1315,Abat
1316,Sult2a4
1317,B3galnt1
1318,Dlst
1319,Acaa1a
1320,Slc1a1
1321,Agxt2
1322,Cndp1
